Time,Elevation
2021-05-22 18:20:59,0.0553491044721698
2019-12-28 18:27:00,0.0457316612245321
2019-12-28 18:28:00,0.0455461065474693
2019-12-28 18:25:59,0.0451753421752106
2019-12-28 18:28:59,0.044751464142992
2019-12-28 18:25:00,0.0445787834028552
2019-12-28 18:24:00,0.0445397789089324
2019-12-28 18:30:00,0.0444716300078826
2019-12-28 18:22:59,0.0439775126962733
2019-12-28 18:22:00,0.0433735187666584
2019-12-28 18:31:00,0.0433485501407959
2019-12-28 18:31:59,0.0431361905386842
2019-12-28 18:20:59,0.0424784511223307
2019-12-28 18:19:59,0.0417899837653683
2019-12-28 18:33:00,0.0413367371996332
2019-12-28 18:33:59,0.0407987561217199
2019-12-28 18:34:59,0.0394184033021247
2019-12-28 18:19:00,0.0393061206988525
2018-12-26 20:57:00,0.0392680798686287
2018-12-26 20:59:00,0.0389766976741465
2018-12-26 20:57:59,0.0389122467369074
2019-12-28 18:17:59,0.0388825659240247
2018-12-26 21:00:00,0.0386431057184524
2018-12-26 20:54:59,0.0383168761839578
2018-12-26 21:02:00,0.0383034229185043
2018-12-26 20:56:00,0.0381667340303328
2018-12-26 21:00:59,0.0380296339085725
2018-12-26 21:02:59,0.0378315589859169
2018-12-26 20:54:00,0.037819013290217
2019-12-28 18:36:00,0.0373880347392113
2018-12-26 20:53:00,0.0371703923109548
2018-12-26 21:03:59,0.036839010181924
2018-12-26 20:51:59,0.0362310902078975
2019-12-28 18:17:00,0.0361957034437631
2019-12-28 18:38:00,0.0352283580760531
2018-12-26 20:51:00,0.0350080639424186
2018-12-26 21:05:59,0.0349733352126483
2018-12-26 21:05:00,0.0346470429586132
2019-12-28 18:36:59,0.0346326964301793
2019-12-28 18:16:00,0.0342829272598778
2018-12-26 20:49:59,0.0337354904758342
2018-12-26 21:06:59,0.0336208284509843
2019-12-28 18:39:00,0.0325291262434342
2018-12-26 21:08:00,0.0319894684116544
2018-12-26 20:48:59,0.0319444267692078
2019-12-28 18:39:59,0.031531689126002
2020-03-30 12:42:00,0.0313844597355542
2020-05-09 09:19:00,0.031180808451668
